Provider Number,Hospital Name,Address 1,Address 2,Address 3,City,State,ZIP Code,County Name,Phone Number,Hospital 30-Day Death (Mortality) Rates from Heart Attack,Comparison to U.S. Rate - Hospital 30-Day Death (Mortality) Rates from Heart Attack,Lower Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Heart Attack,Upper Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Heart Attack,Number of Patients - Hospital 30-Day Death (Mortality) Rates from Heart Attack,Footnote - Hospital 30-Day Death (Mortality) Rates from Heart Attack,Hospital 30-Day Death (Mortality) Rates from Heart Failure,Comparison to U.S. Rate - Hospital 30-Day Death (Mortality) Rates from Heart Failure,Lower Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Heart Failure,Upper Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Heart Failure,Number of Patients - Hospital 30-Day Death (Mortality) Rates from Heart Failure,Footnote - Hospital 30-Day Death (Mortality) Rates from Heart Failure,Hospital 30-Day Death (Mortality) Rates from Pneumonia,Comparison to U.S. Rate - Hospital 30-Day Death (Mortality) Rates from Pneumonia,Lower Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Pneumonia,Upper Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Pneumonia,Number of Patients - Hospital 30-Day Death (Mortality) Rates from Pneumonia,Footnote - Hospital 30-Day Death (Mortality) Rates from Pneumonia,Hospital 30-Day Readmission Rates from Heart Attack,Comparison to U.S. Rate - Hospital 30-Day Readmission Rates from Heart Attack,Lower Readmission Estimate - Hospital 30-Day Readmission Rates from Heart Attack,Upper Readmission Estimate - Hospital 30-Day Readmission Rates from Heart Attack,Number of Patients - Hospital 30-Day Readmission Rates from Heart Attack,Footnote - Hospital 30-Day Readmission Rates from Heart Attack,Hospital 30-Day Readmission Rates from Heart Failure,Comparison to U.S. Rate - Hospital 30-Day Readmission Rates from Heart Failure,Lower Readmission Estimate - Hospital 30-Day Readmission Rates from Heart Failure,Upper Readmission Estimate - Hospital 30-Day Readmission Rates from Heart Failure,Number of Patients - Hospital 30-Day Readmission Rates from Heart Failure,Footnote - Hospital 30-Day Readmission Rates from Heart Failure,Hospital 30-Day Readmission Rates from Pneumonia,Comparison to U.S. Rate - Hospital 30-Day Readmission Rates from Pneumonia,Lower Readmission Estimate - Hospital 30-Day Readmission Rates from Pneumonia,Upper Readmission Estimate - Hospital 30-Day Readmission Rates from Pneumonia,Number of Patients - Hospital 30-Day Readmission Rates from Pneumonia,Footnote - Hospital 30-Day Readmission Rates from Pneumonia
10069,MEDICAL CENTER BARBOUR,820 W WASHINGTON ST,,,EUFAULA,AL,36027,BARBOUR,3346887271,Not Available,Number of Cases Too Small,Not Available,Not Available,10,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,13.5,No Different than U.S. National Rate,9.9,18.1,100,,15,No Different than U.S. National Rate,11.2,19.9,125,,Not Available,Number of Cases Too Small,Not Available,Not Available,3,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,22.2,No Different than U.S. National Rate,18.2,27.1,121,,18.4,No Different than U.S. National Rate,14.6,22.8,125,
10073,CLAY COUNTY HOSPITAL,83825 HIGHWAY 9    P O BOX 1270,,,ASHLAND,AL,36251,CLAY,2563542131,16.7,No Different than U.S. National Rate,12.9,20.7,27,,12.6,No Different than U.S. National Rate,9.4,16.8,92,,11.8,No Different than U.S. National Rate,8.5,15.8,125,,Not Available,Number of Cases Too Small,Not Available,Not Available,23,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,25.8,No Different than U.S. National Rate,21.2,30.9,103,,17.9,No Different than U.S. National Rate,14.2,22.1,125,
10078,NORTHEAST ALABAMA REGIONAL MED CENTER,400 EAST 10TH STREET,,,ANNISTON,AL,36207,CALHOUN,2562355121,15.6,No Different than U.S. National Rate,13.2,18.4,448,,11.2,No Different than U.S. National Rate,9.3,13.5,609,,13.2,No Different than U.S. National Rate,10.6,16.2,351,,19.4,No Different than U.S. National Rate,16.9,22.3,465,,24.9,No Different than U.S. National Rate,22.4,27.5,712,,19.8,No Different than U.S. National Rate,16.9,23.1,368,
10079,ATHENS-LIMESTONE HOSPITAL,700 WEST MARKET STREET,,,ATHENS,AL,35611,LIMESTONE,2562339292,15,No Different than U.S. National Rate,11.5,19.1,44,,11.7,No Different than U.S. National Rate,9.1,14.9,182,,12.1,No Different than U.S. National Rate,9.3,15.7,202,,Not Available,Number of Cases Too Small,Not Available,Not Available,22,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,25,No Different than U.S. National Rate,21.1,29.2,210,,18.3,No Different than U.S. National Rate,15.1,22,203,
10083,SOUTH BALDWIN REGIONAL MEDICAL CENTER,1613 NORTH MCKENZIE STREET,,,FOLEY,AL,36535,BALDWIN,2519493400,15.8,No Different than U.S. National Rate,11.9,20.4,66,,15.1,Worse than U.S. National Rate,12,18.7,282,,9.8,No Different than U.S. National Rate,7.3,13,199,,18.6,No Different than U.S. National Rate,14.8,23.2,41,,26.3,No Different than U.S. National Rate,22.6,30.1,344,,15,No Different than U.S. National Rate,12.1,18.6,218,
10085,DECATUR GENERAL HOSPITAL,1201 7TH STREET SE,,,DECATUR,AL,35609,MORGAN,2563412000,16.8,No Different than U.S. National Rate,13.2,20.9,74,,10.9,No Different than U.S. National Rate,8.7,13.5,375,,11.9,No Different than U.S. National Rate,9.5,14.8,354,,18.5,No Different than U.S. National Rate,14.7,23,52,,21,Better than U.S. National Rate,18.1,24.1,450,,20.2,No Different than U.S. National Rate,17.1,23.6,374,
10086,NORTHWEST MEDICAL CENTER,1530 U S HIGHWAY 43,,,WINFIELD,AL,35594,MARION,2054877736,Not Available,Number of Cases Too Small,Not Available,Not Available,20,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,11.8,No Different than U.S. National Rate,8.5,16.2,85,,13.1,No Different than U.S. National Rate,10.1,16.8,224,,Not Available,Number of Cases Too Small,Not Available,Not Available,13,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,27.5,No Different than U.S. National Rate,22.5,32.9,102,,19.1,No Different than U.S. National Rate,15.7,23.2,229,
10087,UNIV OF SOUTH ALABAMA MEDICAL CENTER,2451 FILLINGIM STREET,,,MOBILE,AL,36617,MOBILE,2514717110,Not Available,Number of Cases Too Small,Not Available,Not Available,13,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,12.5,No Different than U.S. National Rate,8.6,18.4,27,,Not Available,Number of Cases Too Small,Not Available,Not Available,15,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,Not Available,Number of Cases Too Small,Not Available,Not Available,12,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,24.7,No Different than U.S. National Rate,20.1,30.2,37,,Not Available,Number of Cases Too Small,Not Available,Not Available,14,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing
10089,WALKER BAPTIST MEDICAL CENTER,3400 HIGHWAY 78 EAST,,,JASPER,AL,35502,WALKER,2053874000,17,No Different than U.S. National Rate,13.5,20.9,85,,10.8,No Different than U.S. National Rate,8.2,14,214,,11.9,No Different than U.S. National Rate,9.4,14.8,261,,18.8,No Different than U.S. National Rate,15,23.2,68,,22.8,No Different than U.S. National Rate,19.5,26.9,249,,16.7,No Different than U.S. National Rate,13.9,20.1,285,
10090,PROVIDENCE HOSPITAL,6801 AIRPORT BOULEVARD,,,MOBILE,AL,36608,MOBILE,2516331000,15.2,No Different than U.S. National Rate,12.1,19,191,,13.5,No Different than U.S. National Rate,11.1,16.3,478,,10.6,No Different than U.S. National Rate,8.5,13.1,451,,19.6,No Different than U.S. National Rate,16,23.5,200,,22,No Different than U.S. National Rate,19.3,25.1,568,,17,No Different than U.S. National Rate,14.4,20.1,465,
10091,GROVE HILL MEMORIAL HOSPITAL,295 JACKSON HWY S,,,GROVE HILL,AL,36451,CLARKE,2512753191,Not Available,Number of Cases Too Small,Not Available,Not Available,3,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,10.4,No Different than U.S. National Rate,7.2,14.6,34,,12.1,No Different than U.S. National Rate,8.1,17.3,26,,Not Available,Number of Cases Too Small,Not Available,Not Available,1,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,24.2,No Different than U.S. National Rate,19.5,29.8,49,,Not Available,Number of Cases Too Small,Not Available,Not Available,23,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing
10092,D C H REGIONAL MEDICAL CENTER,809 UNIVERSITY BOULEVARD EAST,,,TUSCALOOSA,AL,35401,TUSCALOOSA,2057597111,15.8,No Different than U.S. National Rate,13.1,19.2,337,,11.2,No Different than U.S. National Rate,9.4,13.3,882,,11.3,No Different than U.S. National Rate,9.4,13.5,693,,20.3,No Different than U.S. National Rate,17.3,23.6,347,,25.3,No Different than U.S. National Rate,22.9,27.7,1087,,19.6,No Different than U.S. National Rate,17.1,22.2,726,
10095,HALE COUNTY HOSPITAL,508 GREEN STREET,,,GREENSBORO,AL,36744,HALE,3346243024,Not Available,Number of Cases Too Small,Not Available,Not Available,3,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,10.7,No Different than U.S. National Rate,7.5,15,45,,11.5,No Different than U.S. National Rate,7.9,16.5,36,,Not Available,Number of Cases Too Small,Not Available,Not Available,1,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,23.8,No Different than U.S. National Rate,19.1,29.2,59,,18.1,No Different than U.S. National Rate,14,23,42,
10097,ELMORE COMMUNITY HOSPITAL,500 HOSPITAL DRIVE,,,WETUMPKA,AL,36092,ELMORE,3345674311,Not Available,Number of Cases Too Small,Not Available,Not Available,20,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,11.3,No Different than U.S. National Rate,7.9,15.9,47,,11.2,No Different than U.S. National Rate,7.9,16,66,,Not Available,Number of Cases Too Small,Not Available,Not Available,15,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,25,No Different than U.S. National Rate,20.2,30.3,55,,19.8,No Different than U.S. National Rate,15.5,24.6,67,
10099,D W MCMILLAN MEMORIAL HOSPITAL,1301 BELLEVILLE AVENUE,,,BREWTON,AL,36426,ESCAMBIA,2518678061,15.7,No Different than U.S. National Rate,11.9,20.4,27,,14.8,No Different than U.S. National Rate,10.9,19.7,104,,12.6,No Different than U.S. National Rate,9.2,17,153,,Not Available,Number of Cases Too Small,Not Available,Not Available,8,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,25.4,No Different than U.S. National Rate,21,30.8,108,,19.3,No Different than U.S. National Rate,15.5,23.7,153,
10100,THOMAS HOSPITAL,750 MORPHY AVENUE,,,FAIRHOPE,AL,36532,BALDWIN,2519282375,14.7,No Different than U.S. National Rate,11.6,18.6,184,,12.8,No Different than U.S. National Rate,10.1,16,317,,13.1,No Different than U.S. National Rate,10.2,16.8,192,,18.2,No Different than U.S. National Rate,14.8,22.1,213,,23.4,No Different than U.S. National Rate,20.1,27.1,372,,16.4,No Different than U.S. National Rate,13.4,20.4,197,
10101,CITIZENS BAPTIST MEDICAL CENTER,604 STONE AVENUE,,,TALLADEGA,AL,35161,TALLADEGA,2567614542,17.3,No Different than U.S. National Rate,13.4,22.2,33,,14.9,No Different than U.S. National Rate,11.3,19.4,113,,12.1,No Different than U.S. National Rate,8.8,16.6,96,,Not Available,Number of Cases Too Small,Not Available,Not Available,21,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,23.3,No Different than U.S. National Rate,19.3,28,132,,18.1,No Different than U.S. National Rate,14.4,22.3,100,
10102,J PAUL JONES HOSPITAL,317 MCWILLIAMS AVENUE,,,CAMDEN,AL,36726,WILCOX,3346824131,Not Available,Number of Cases Too Small,Not Available,Not Available,2,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,Not Available,Number of Cases Too Small,Not Available,Not Available,19,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,11.4,No Different than U.S. National Rate,7.7,16.5,38,,Not Available,Number of Cases Too Small,Not Available,Not Available,2,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,Not Available,Number of Cases Too Small,Not Available,Not Available,23,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,18.5,No Different than U.S. National Rate,14.4,23.8,45,
10103,BAPTIST MEDICAL CENTER-PRINCETON,701 PRINCETON AVENUE SOUTHWEST,,,BIRMINGHAM,AL,35211,JEFFERSON,2057833800,14.9,No Different than U.S. National Rate,12.2,18.1,312,,11.4,No Different than U.S. National Rate,9.1,14.2,350,,11.6,No Different than U.S. National Rate,9.3,14.5,292,,19.2,No Different than U.S. National Rate,16.3,22.3,358,,22.2,No Different than U.S. National Rate,19.4,25.6,468,,17.5,No Different than U.S. National Rate,14.8,20.7,322,
10104,TRINITY MEDICAL CENTER,800 MONTCLAIR RD,,,BIRMINGHAM,AL,35213,JEFFERSON,2055921000,16.8,No Different than U.S. National Rate,13.9,20.4,320,,12.9,No Different than U.S. National Rate,10.3,16.2,356,,13.9,No Different than U.S. National Rate,11,17.6,246,,19.7,No Different than U.S. National Rate,16.8,23.2,355,,21.5,No Different than U.S. National Rate,18.5,24.9,436,,17.2,No Different than U.S. National Rate,14.3,20.6,264,
10108,PRATTVILLE BAPTIST HOSPITAL,124 S MEMORIAL DR,,,PRATTVILLE,AL,36067,AUTAUGA,3343614267,14.6,No Different than U.S. National Rate,10.9,19.3,28,,14.8,No Different than U.S. National Rate,11.3,19.4,108,,14.2,No Different than U.S. National Rate,10.9,18.3,211,,Not Available,Number of Cases Too Small,Not Available,Not Available,14,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,27,No Different than U.S. National Rate,22.5,31.9,127,,20.5,No Different than U.S. National Rate,16.9,24.4,223,
10109,PICKENS COUNTY MEDICAL CENTER,241 ROBERT K WILSON,,,CARROLLTON,AL,35447,PICKENS,2053678111,Not Available,Number of Cases Too Small,Not Available,Not Available,13,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,12.6,No Different than U.S. National Rate,9.4,16.8,55,,12.4,No Different than U.S. National Rate,9.5,16,135,,Not Available,Number of Cases Too Small,Not Available,Not Available,9,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,25.5,No Different than U.S. National Rate,20.9,30.4,69,,17.9,No Different than U.S. National Rate,14.5,22.1,139,
10110,BULLOCK COUNTY HOSPITAL,102 WEST CONECUH AVENUE,,,UNION SPRINGS,AL,36089,BULLOCK,3347382140,Not Available,Number of Cases Too Small,Not Available,Not Available,2,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,12.3,No Different than U.S. National Rate,8.4,17.5,37,,12.1,No Different than U.S. National Rate,8.5,16.8,26,,Not Available,Number of Cases Too Small,Not Available,Not Available,1,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,26.1,No Different than U.S. National Rate,20.9,31.8,39,,Not Available,Number of Cases Too Small,Not Available,Not Available,24,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing
10112,BRYAN W WHITFIELD MEM HOSP INC,105 HIGHWAY 80 EAST,,,DEMOPOLIS,AL,36732,MARENGO,3342894000,Not Available,Number of Cases Too Small,Not Available,Not Available,19,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,11.7,No Different than U.S. National Rate,8.7,15.5,122,,9.1,No Different than U.S. National Rate,6.3,13.3,113,,Not Available,Number of Cases Too Small,Not Available,Not Available,11,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,26.3,No Different than U.S. National Rate,21.9,31.2,161,,18.3,No Different than U.S. National Rate,14.6,22.7,130,
10113,MOBILE INFIRMARY,5 MOBILE INFIRMARY CIRCLE,,,MOBILE,AL,36652,MOBILE,2514354700,19.3,Worse than U.S. National Rate,15.6,23.4,247,,10.7,No Different than U.S. National Rate,8.8,12.7,798,,12.5,No Different than U.S. National Rate,10.5,14.9,612,,22.1,No Different than U.S. National Rate,18.4,26.2,246,,25.6,No Different than U.S. National Rate,23.3,28,1018,,20.3,No Different than U.S. National Rate,17.5,22.9,681,
10114,"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM",995 9TH AVENUE SOUTHWEST,,,BESSEMER,AL,35021,JEFFERSON,2054817000,15.3,No Different than U.S. National Rate,12.1,19.1,111,,11.4,No Different than U.S. National Rate,8.6,14.8,187,,12.1,No Different than U.S. National Rate,9.5,15.6,197,,20.6,No Different than U.S. National Rate,16.9,24.9,92,,23.8,No Different than U.S. National Rate,20.2,27.9,222,,20.3,No Different than U.S. National Rate,16.8,24.2,206,
10118,VAUGHAN REG MED CENTER PARKWAY CAMPUS,1015 MEDICAL CENTER PARKWAY,,,SELMA,AL,36701,DALLAS,3344184100,14.7,No Different than U.S. National Rate,11.5,18.7,111,,12,No Different than U.S. National Rate,9.5,15.1,318,,14,No Different than U.S. National Rate,11.2,17,229,,21.2,No Different than U.S. National Rate,17.3,25.5,101,,28.3,No Different than U.S. National Rate,24.7,32.1,371,,21.1,No Different than U.S. National Rate,17.6,24.9,238,
10120,MONROE COUNTY HOSPITAL,2016 SOUTH ALABAMA AVENUE,,,MONROEVILLE,AL,36461,MONROE,2515753111,Not Available,Number of Cases Too Small,Not Available,Not Available,24,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,13,No Different than U.S. National Rate,9.6,17.2,123,,15.6,No Different than U.S. National Rate,11.7,20.2,167,,Not Available,Number of Cases Too Small,Not Available,Not Available,22,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,26.3,No Different than U.S. National Rate,22,31,164,,17.2,No Different than U.S. National Rate,13.8,21.1,174,
10125,LAKELAND COMMUNITY HOSPITAL,42024 HIGHWAY 195 E     POST OFFICE BOX 780,,,HALEYVILLE,AL,35565,WINSTON,2054857117,Not Available,Number of Cases Too Small,Not Available,Not Available,17,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,13.6,No Different than U.S. National Rate,10,18.2,114,,10.7,No Different than U.S. National Rate,8.2,14,333,,Not Available,Number of Cases Too Small,Not Available,Not Available,9,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,21.9,No Different than U.S. National Rate,18,26.6,133,,17.1,No Different than U.S. National Rate,14.4,20.6,353,
10126,TROY REGIONAL MEDICAL CENTER,1330 HIGHWAY 231 SOUTH,,,TROY,AL,36081,PIKE,3346705000,Not Available,Number of Cases Too Small,Not Available,Not Available,15,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,11.2,No Different than U.S. National Rate,8,15.4,91,,11.1,No Different than U.S. National Rate,8,15,121,,Not Available,Number of Cases Too Small,Not Available,Not Available,7,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,26.5,No Different than U.S. National Rate,22.3,31.3,141,,22.3,No Different than U.S. National Rate,17.8,27,134,
10128,JACKSON MEDICAL CENTER,220 HOSPITAL DRIVE,,,JACKSON,AL,36545,CLARKE,2512469021,13.3,Number of Cases Too Small,Not Available,Not Available,5,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,12.3,No Different than U.S. National Rate,8.5,17.6,37,,9.3,No Different than U.S. National Rate,6.2,13.5,59,,Not Available,Number of Cases Too Small,Not Available,Not Available,2,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,25.9,No Different than U.S. National Rate,21,31.5,53,,16.8,No Different than U.S. National Rate,13.1,21.5,66,
10129,NORTH BALDWIN INFIRMARY,1815 HAND AVENUE,,,BAY MINETTE,AL,36507,BALDWIN,2519375521,Not Available,Number of Cases Too Small,Not Available,Not Available,9,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,11.5,No Different than U.S. National Rate,8,16.3,38,,14.6,No Different than U.S. National Rate,10.9,19.1,82,,Not Available,Number of Cases Too Small,Not Available,Not Available,5,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,24.3,No Different than U.S. National Rate,19.7,29.5,49,,18.4,No Different than U.S. National Rate,14.6,22.7,90,
10130,ST VINCENT'S ST CLAIR,7063 VETERANS PARKWAY,,,PELL CITY,AL,35125,SAINT CLAIR,2053383301,Not Available,Number of Cases Too Small,Not Available,Not Available,5,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,10.8,No Different than U.S. National Rate,7.8,14.9,91,,11.4,No Different than U.S. National Rate,8.2,15.6,147,,Not Available,Number of Cases Too Small,Not Available,Not Available,7,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,23.8,No Different than U.S. National Rate,19.7,28.4,108,,21,No Different than U.S. National Rate,17,25.4,162,
10131,CRESTWOOD MEDICAL CENTER,ONE HOSPITAL DR SE,,,HUNTSVILLE,AL,35801,MADISON,2568823100,13.3,No Different than U.S. National Rate,10.4,16.7,177,,13.8,No Different than U.S. National Rate,11.1,17.1,303,,10.4,No Different than U.S. National Rate,8.1,13.5,306,,18.7,No Different than U.S. National Rate,15.2,22.8,162,,23.6,No Different than U.S. National Rate,20.3,27.4,328,,18.7,No Different than U.S. National Rate,15.4,22.2,313,
10137,COOPER GREEN MERCY HOSPITAL,1515 6TH AVENUE SOUTH,,,BIRMINGHAM,AL,35233,JEFFERSON,2059303200,Not Available,Number of Cases Too Small,Not Available,Not Available,1,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,Not Available,Number of Cases Too Small,Not Available,Not Available,10,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,Not Available,Number of Cases Too Small,Not Available,Not Available,5,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,Not Available,Number of Cases Too Small,Not Available,Not Available,1,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,Not Available,Number of Cases Too Small,Not Available,Not Available,14,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,Not Available,Number of Cases Too Small,Not Available,Not Available,7,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing
10138,HILL HOSPITAL OF SUMTER COUNTY,751 DERBY DRIVE,,,YORK,AL,36925,SUMTER,2053925263,Not Available,Number of Cases Too Small,Not Available,Not Available,1,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,Not Available,Number of Cases Too Small,Not Available,Not Available,1,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,Not Available,Number of Cases Too Small,Not Available,Not Available,2,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,Not Available,Not Available,Not Available,Not Available,Not Available,No data are available from the hospital for this measure,Not Available,Number of Cases Too Small,Not Available,Not Available,2,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,Not Available,Number of Cases Too Small,Not Available,Not Available,2,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing
10139,BROOKWOOD MEDICAL CENTER,2010 BROOKWOOD MEDICAL CENTER DRIVE,,,BIRMINGHAM,AL,35209,JEFFERSON,2058771000,16.5,No Different than U.S. National Rate,13.3,20.1,224,,13.5,No Different than U.S. National Rate,11.1,16.4,416,,13,No Different than U.S. National Rate,10.7,15.7,516,,18.6,No Different than U.S. National Rate,15.4,21.9,248,,24.4,No Different than U.S. National Rate,21.5,27.7,496,,17.1,No Different than U.S. National Rate,14.7,20,520,
10144,SPRINGHILL MEDICAL CENTER,3719 DAUPHIN STREET,,,MOBILE,AL,36608,MOBILE,2513449630,16,No Different than U.S. National Rate,12.1,20.3,142,,10.4,No Different than U.S. National Rate,8,13.4,380,,13.8,No Different than U.S. National Rate,10.1,17.9,193,,22.8,No Different than U.S. National Rate,18.5,27.6,138,,24.4,No Different than U.S. National Rate,21.4,27.5,526,,18.9,No Different than U.S. National Rate,15.3,22.9,191,
10146,JACKSONVILLE MEDICAL CENTER,1701 SOUTH PELHAM ROAD,,,JACKSONVILLE,AL,36265,CALHOUN,2567824538,Not Available,Number of Cases Too Small,Not Available,Not Available,22,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,16.4,Worse than U.S. National Rate,12,21.8,63,,19.2,Worse than U.S. National Rate,14.4,25.2,133,,Not Available,Number of Cases Too Small,Not Available,Not Available,13,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,24.5,No Different than U.S. National Rate,19.9,29.8,62,,19.7,No Different than U.S. National Rate,15.7,24.5,130,
10148,EVERGREEN MEDICAL CENTER,101 CRESTVIEW AVENUE,,,EVERGREEN,AL,36401,CONECUH,2515782480,Not Available,Number of Cases Too Small,Not Available,Not Available,15,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,9.1,No Different than U.S. National Rate,6.4,12.7,135,,12,No Different than U.S. National Rate,8.3,17.1,64,,Not Available,Number of Cases Too Small,Not Available,Not Available,10,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,26.3,No Different than U.S. National Rate,22,31.1,183,,19.6,No Different than U.S. National Rate,15.4,24.5,72,
10149,BAPTIST MEDICAL CENTER EAST,400 TAYLOR ROAD,,,MONTGOMERY,AL,36117,MONTGOMERY,3342448330,14.2,No Different than U.S. National Rate,11.2,18,95,,9.6,No Different than U.S. National Rate,7.4,12.4,297,,10.2,No Different than U.S. National Rate,8,13.3,234,,20.1,No Different than U.S. National Rate,16.1,24.7,56,,26.2,No Different than U.S. National Rate,22.7,29.9,362,,16.3,No Different than U.S. National Rate,13.3,19.8,252,
01014F,BIRMINGHAM VA MEDICAL CENTER,700 SOUTH 19TH STREET,,,BIRMINGHAM                    ,AL,35233,JEFFERSON,2059334515,16.1,No Different than U.S. National Rate,12.4,20.8,98,,10.4,No Different than U.S. National Rate,7.6,14.1,195,,11,No Different than U.S. National Rate,7.9,15,140,,22.1,No Different than U.S. National Rate,17.8,27.1,105,,22.3,No Different than U.S. National Rate,18.7,26,248,,17.5,No Different than U.S. National Rate,13.9,21.4,161,
10150,L V STABLER MEMORIAL HOSPITAL,29 L V STABLER DRIVE,,,GREENVILLE,AL,36037,BUTLER,3343822200,Not Available,Number of Cases Too Small,Not Available,Not Available,24,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,11.1,No Different than U.S. National Rate,7.9,15.1,111,,13,No Different than U.S. National Rate,9.4,17.6,89,,Not Available,Number of Cases Too Small,Not Available,Not Available,11,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,24.4,No Different than U.S. National Rate,20.2,28.9,134,,16.8,No Different than U.S. National Rate,13.4,21.1,88,
10152,INFIRMARY WEST,5600 GIRBY RD,,,MOBILE,AL,36693,MOBILE,2516605236,Not Available,Number of Cases Too Small,Not Available,Not Available,9,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,12.5,No Different than U.S. National Rate,8.9,17.1,58,,13.1,No Different than U.S. National Rate,9.2,17.9,54,,Not Available,Number of Cases Too Small,Not Available,Not Available,5,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,26.7,No Different than U.S. National Rate,22,32,70,,19,No Different than U.S. National Rate,15,24,61,
10157,SHOALS HOSPITAL,201 WEST AVALON AVENUE,,,MUSCLE SHOALS,AL,35661,COLBERT,2563861601,Not Available,Number of Cases Too Small,Not Available,Not Available,7,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,13.6,No Different than U.S. National Rate,9.9,18.2,68,,12.8,No Different than U.S. National Rate,9.3,17.4,128,,Not Available,Number of Cases Too Small,Not Available,Not Available,4,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,24.8,No Different than U.S. National Rate,20.3,29.8,81,,17.7,No Different than U.S. National Rate,14.3,22,143,
10158,RUSSELLVILLE HOSPITAL,15155 HIGHWAY 43,,,RUSSELLVILLE,AL,35653,FRANKLIN,2563321611,Not Available,Number of Cases Too Small,Not Available,Not Available,23,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,14.8,No Different than U.S. National Rate,11.2,19.4,133,,11.5,No Different than U.S. National Rate,8.6,15.3,211,,Not Available,Number of Cases Too Small,Not Available,Not Available,21,number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing,26.1,No Different than U.S. National Rate,21.8,30.8,155,,21.8,No Different than U.S. National Rate,18,25.8,227,
